0.0,22.5,45.0,67.5,90.0,112.5,135.0,157.5,180.0,202.5,225.0,247.5,270.0,292.5,315.0,337.5,shape,position,sensor_rotation,angle
191,191,191,191,191,191,191,191,191,162,162,191,162,191,191,191,wall,7,0,22.5
191,191,191,191,191,191,191,191,191,191,191,191,178,178,191,191,wall,7,0,22.5
191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,wall,7,0,22.5
