1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,shape
194,168,194,194,159,194,171,194,172,194,194,194,172,194,194,159,194,171,194,185,181,159,194,159,184,171,159,134,134,134,138,181,168,155,181,155,156,155,155,155,155,134,134,155,155,134,134,134,134,168,134,155,134,155,155,155,181,168,155,155,181,171,155,181,194,159,181,138,185,159,159,181,pyramid
181,155,181,194,159,181,194,194,194,141,138,141,194,194,194,181,159,194,159,155,194,181,159,194,159,181,138,152,194,181,134,181,181,155,181,155,134,155,155,181,155,155,155,134,168,155,134,134,155,168,134,155,169,155,181,155,155,169,169,181,155,169,155,134,181,194,134,138,181,172,194,172,pyramid
181,159,168,181,159,194,159,194,194,194,194,138,138,194,185,159,194,181,159,171,159,171,194,181,171,181,172,181,134,181,194,181,134,155,181,155,155,155,155,155,155,155,181,155,134,168,168,134,134,134,181,134,155,134,155,181,155,155,168,155,168,181,155,168,181,134,168,181,134,159,171,172,pyramid
159,181,172,159,181,194,159,194,159,181,184,159,168,194,181,155,184,181,159,194,159,172,194,172,168,194,181,181,181,155,168,194,184,181,134,155,168,155,172,155,155,155,155,155,155,155,155,155,134,152,181,134,134,168,134,168,155,168,155,181,181,155,168,168,155,168,155,134,168,134,138,181,pyramid
172,159,172,138,184,159,159,185,159,184,159,184,184,184,194,162,194,138,159,185,159,194,159,194,181,159,194,159,194,159,172,159,134,134,134,171,159,138,184,138,138,138,138,172,181,138,181,138,155,138,134,134,134,138,181,138,172,155,155,155,155,155,155,171,134,155,155,134,184,138,159,184,pyramid
159,194,171,159,194,159,194,194,172,159,181,159,181,184,155,194,141,194,155,159,194,159,159,181,159,159,171,181,172,181,184,172,134,181,159,194,181,138,155,155,138,155,155,172,172,155,184,155,155,155,155,134,134,134,134,155,155,155,181,155,155,181,181,155,181,155,181,155,155,138,134,134,pyramid
194,155,185,181,159,181,159,185,181,194,159,181,159,181,194,181,194,138,194,194,194,194,194,181,159,194,194,181,159,194,155,194,155,184,134,134,134,138,181,155,155,155,155,155,155,181,155,181,155,155,134,155,155,134,134,134,168,134,155,134,169,155,156,181,181,155,155,181,155,155,181,194,pyramid
159,185,159,194,159,194,155,194,155,155,159,181,159,194,159,181,181,194,194,194,185,194,184,194,181,194,181,155,181,181,155,181,159,169,172,134,134,134,171,181,181,155,172,155,155,155,155,181,155,155,168,168,134,134,134,134,134,168,155,155,181,155,181,155,155,168,155,181,181,181,181,181,pyramid
159,181,158,194,181,181,159,181,159,159,181,159,181,194,194,194,159,134,134,159,194,171,194,181,171,171,194,172,181,159,181,159,181,184,159,134,134,138,184,168,155,181,155,155,155,155,156,181,155,155,155,134,168,172,134,184,134,134,134,168,155,181,134,181,181,134,168,181,155,181,155,184,pyramid
134,138,184,181,159,194,181,159,159,194,172,168,159,181,171,181,194,159,134,134,138,184,184,181,172,181,159,181,181,159,194,171,181,159,181,194,138,134,138,181,155,155,155,168,155,155,181,181,155,155,181,155,134,168,159,138,138,168,134,155,181,168,155,155,155,155,155,155,168,181,181,168,pyramid
